"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"145","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","54","Singleton is not thread safe","Design Rules","NonThreadSafeSingleton"
"146","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","65","Local variable 'job' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"147","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","5","67","Found 'DD'-anomaly for variable 'trigger' (lines '67'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"148","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","77","Local variable 'job' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"149","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","5","79","Found 'DD'-anomaly for variable 'trigger' (lines '79'-'80').","Controversial Rules","DataflowAnomalyAnalysis"
"150","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","90","Local variable 'job' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"151","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","93","Local variable 'trigger' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"152","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","104","Local variable 'job' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"153","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"154","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","27","Avoid excessively long variable names like systemPrevaylerModel","Naming Rules","LongVariable"
"155","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","27","Local variable 'systemPrevaylerModel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"156","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","32","Avoid excessively long variable names like restartCampaignMessage","Naming Rules","LongVariable"
"157","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","32","Local variable 'restartCampaignMessage' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"158","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","41","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"159","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","2","42","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"160","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","54","Avoid excessively long variable names like systemPrevaylerModel","Naming Rules","LongVariable"
"161","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SendMessageJob.java","3","54","Local variable 'systemPrevaylerModel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"162","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SystemPrevaylerModelSnapshotJob.java","3","16","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"163","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","16","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"164","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","18","Avoid excessively long variable names like ADMIN_CONTACTS_XML","Naming Rules","LongVariable"
"165","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","24","Avoid excessively long variable names like concurrentSkipListSet","Naming Rules","LongVariable"
"166","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","24","Local variable 'concurrentSkipListSet' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"167","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","25","Local variable 'fXmlFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"168","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","26","Local variable 'dbFactory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"169","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","27","Local variable 'dBuilder' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"170","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","28","Local variable 'doc' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"171","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","2","36","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"172","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","36","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"173","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/AdminContactsListBuilder.java","3","42","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"174","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","14","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"175","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","16","Avoid excessively long variable names like CONTACTS_IN_BLACK_LIST_XML","Naming Rules","LongVariable"
"176","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","23","Local variable 'xstream' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"177","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","32","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"178","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","32","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"179","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","32","Parameter 'contatos' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"180","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","35","Local variable 'xstream' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"181","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/BlackListContactsListBuilder.java","3","37","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"182","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","15","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"183","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","19","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"184","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","1","19","Return an empty array rather than null.","Design Rules","ReturnEmptyArrayRatherThanNull"
"185","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","22","Avoid excessively long variable names like concurrentSkipListSet","Naming Rules","LongVariable"
"186","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","22","Local variable 'concurrentSkipListSet' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"187","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","23","Local variable 'isr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"188","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","24","Local variable 'bufReader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"189","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","26","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"190","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","5","26","Found 'DU'-anomaly for variable 'readedLine' (lines '26'-'42').","Controversial Rules","DataflowAnomalyAnalysis"
"191","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","2","29","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"192","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","29","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"193","br.com.campanhasms.sms.contacts","src/br/com/campanhasms/sms/contacts/ContactsListBuilder.java","3","37","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"194","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","1","15","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"195","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","17","Avoid excessively long variable names like contactNormalizationRules","Naming Rules","LongVariable"
"196","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","17","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"197","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","17","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"198","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","20","Avoid excessively long variable names like NORMALIZATION_CONTACTS_XML","Naming Rules","LongVariable"
"199","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","20","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"200","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","1","20","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"201","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","1","20","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"202","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","25","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"203","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","25","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"204","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","30","Singleton is not thread safe","Design Rules","NonThreadSafeSingleton"
"205","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","39","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"206","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","39","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"207","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","42","Local variable 'xstream' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"208","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","2","51","Avoid reassigning parameters such as 'contactNumber'","Design Rules","AvoidReassigningParameters"
"209","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","53","Local variable 'regex' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"210","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","54","Local variable 'regexMatcher' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"211","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","2","57","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"212","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","57","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"213","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactFactory.java","3","57","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"214","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactNormalizationRule.java","3","8","Parameter 'matcherRegex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"215","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactNormalizationRule.java","3","8","Parameter 'replacerRegex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"216","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactNormalizationRule.java","3","22","Parameter 'matcherRegex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"217","br.com.campanhasms.sms.contacts.normalization.model","src/br/com/campanhasms/sms/contacts/normalization/model/ContactNormalizationRule.java","3","26","Parameter 'replacerRegex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"218","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","18","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"219","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","21","Local variable 'message' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"220","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","23","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"221","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"222","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","35","Avoid excessively long variable names like messageTimeInMilis","Naming Rules","LongVariable"
"223","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","35","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"224","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","37","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"225","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","37","Private field 'messageType' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"226","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","39","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"227","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","39","Private field 'messateText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"228","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","41","Parameter 'message' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"229","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","46","Avoid excessively long variable names like statusReportMessage","Naming Rules","LongVariable"
"230","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","46","Local variable 'statusReportMessage' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"231","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","2","61","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"232","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","70","Avoid excessively long variable names like messageTimeInMilis","Naming Rules","LongVariable"
"233","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","70","Parameter 'messageOriginator' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"234","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","70","Parameter 'messageTimeInMilis' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"235","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","70","Parameter 'messageType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"236","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","87","Local variable 'time' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"237","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","89","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"238","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","89","Local variable 'messageOriginator' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"239","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/ReceivedMessage.java","3","91","Local variable 'messateText' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"240","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"241","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","17","Avoid excessively long variable names like messageTimeInMilis","Naming Rules","LongVariable"
"242","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"243","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","21","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"244","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","24","Local variable 'message' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"245","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","26","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"246","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","33","Avoid excessively long variable names like messageTimeInMilis","Naming Rules","LongVariable"
"247","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","33","Parameter 'destination' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"248","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","33","Parameter 'messageTimeInMilis' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"249","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","39","Parameter 'message' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"250","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","2","43","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"251","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","51","Parameter 'sendedMessage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"252","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","57","Local variable 'time' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"253","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","59","Avoid excessively long variable names like messageDestination","Naming Rules","LongVariable"
"254","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","59","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"255","br.com.campanhasms.sms.model","src/br/com/campanhasms/sms/model/SendedMessage.java","3","59","Local variable 'messageDestination' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"256","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/CallNotification.java","3","12","Parameter 'callerId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"257","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/CallNotification.java","3","12","Parameter 'gateway' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"258","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/GatewayStatusNotification.java","3","14","Parameter 'gateway' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"259","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/GatewayStatusNotification.java","3","14","Parameter 'newStatus' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"260","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/GatewayStatusNotification.java","3","14","Parameter 'oldStatus' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"261","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/OrphanedMessageNotification.java","3","14","Parameter 'gateway' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"262","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/OrphanedMessageNotification.java","3","14","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"263","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/OutboundMessageNotification.java","3","16","Parameter 'gateway' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"264","br.com.campanhasms.sms.notification","src/br/com/campanhasms/sms/notification/OutboundMessageNotification.java","3","16","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"265","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/AbstractReportsRequirements.java","3","3","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"266","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/AbstractReportsRequirements.java","3","12","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"267","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/AbstractReportsRequirements.java","3","16","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"268","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/AbstractReportsRequirements.java","3","19","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"269","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/NotSupportedReport.java","3","17","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"270","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/NotSupportedReport.java","3","18","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"271","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/SmsRatingReport.java","3","17","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"272","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/SmsRatingReport.java","3","18","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"273","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/SmsRatingReport.java","3","19","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"274","br.com.campanhasms.sms.reports","src/br/com/campanhasms/sms/reports/SmsRatingReport.java","3","20","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"275","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","22","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"276","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","24","Avoid excessively long variable names like ADMIN_CONTACTS_GROUP","Naming Rules","LongVariable"
"277","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","28","Parameter 'text' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"278","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","34","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"279","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","34","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"280","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","34","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"281","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","34","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"282","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","36","Local variable 'msgList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"283","br.com.campanhasms.sms.service.impl","src/br/com/campanhasms/sms/service/impl/SMSServiceWrapper.java","3","41","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
